"","ID","Geno","Plant","WR_CHR","K","BL","UL","DCMax","DCMin","a","b","MOI_solid_AH","E_Mpa_AH","E_GPa_AH"
"1","A632_1","A632","1","Middle",21.242781,21.453935,39.86352,5.455,4.9925,2.49625,2.7275,33.320082314199,65.2545550888675,0.0652545550888675
"2","A632_2","A632","2","Middle",17.7097435,36.794875,39.759265,5.55,5.1,2.55,2.775,36.1377077589844,50.1599617195493,0.0501599617195493
"3","A632_3","A632","3","Middle",21.0109063333333,20.37509,25.5759866666667,4.91333333333333,4.42666666666667,2.21333333333333,2.45666666666667,20.9201011387812,102.798442244291,0.102798442244291
"4","A632_4","A632","4","Bottom",18.307461,39.27019,31.339505,4.71,4.38,2.19,2.355,19.4267579340544,96.4569034523625,0.0964569034523625
"5","A632_4","A632","4","Middle",13.5201843333333,21.27935,31.30664,5.2125,4.66,2.33,2.60625,25.8917203771148,53.4474797526861,0.0534474797526861
"6","A632_5","A632","5","Bottom",17.778995,14.66835,31.1259033333333,5.09,4.39,2.195,2.545,21.1382209511244,86.0883336210483,0.0860883336210483
"7","A632_5","A632","5","Middle",16.4605566666667,32.333215,31.33952,4.775,4.375,2.1875,2.3875,19.6274842739105,85.8391496828562,0.0858391496828562
"8","A632_6","A632","6","Bottom",21.4915603333333,41.11086,39.3102,4.97,4.66333333333333,2.33166666666667,2.485,24.7401801739918,88.914095726644,0.088914095726644
"9","A632_6","A632","6","Middle",19.8400253333333,33.2991333333333,36.9405666666667,5.3575,5.085,2.5425,2.67875,34.5773846790996,58.7294058959397,0.0587294058959398
"10","B73_1","B73","1","Bottom",20.98537025,37.42596,41.91755,6.10333333333333,5.43333333333333,2.0375,2.28875,15.2043648398532,141.271280106361,0.141271280106361
"11","B73_1","B73","1","Middle",18.4047652,29.633388,31.629536,5.285,4.72,1.888,2.114,11.1734689271726,168.596200250798,0.168596200250798
"12","B73_2","B73","2","Bottom",25.9830255,32.050595,39.9427375,5.2875,4.9125,1.965,2.115,12.6030340199229,211.018308633235,0.211018308633235
"13","B73_2","B73","2","Middle",12.130748,14.758792,17.510848,4.4725,4.225,1.69,1.789,6.78183980677288,183.081971553404,0.183081971553404
"14","B73_3","B73","3","Bottom",30.6306695,42.5578175,50.3395875,5.93,5.7025,2.85125,2.965,53.9768660364802,58.0837103250063,0.0580837103250063
"15","B73_3","B73","3","Middle",14.149694,22.841075,26.93967,4.9575,4.6625,2.33125,2.47875,24.664728961186,58.7186723291159,0.0587186723291159
"16","B73_4","B73","4","Bottom",23.9311345,31.8682325,40.06537,5.24,4.9675,2.48375,2.62,31.5284052721222,77.6903020623518,0.0776903020623518
"17","B73_4","B73","4","Middle",13.1270955,20.78977,25.474155,5.1175,4.92,2.46,2.55875,29.9164632599587,44.9121578637468,0.0449121578637468
"18","B73_5","B73","5","Bottom",28.88530125,45.94089,52.1031125,5.9925,5.5375,2.76875,2.99625,49.9466483598998,59.1937804726264,0.0591937804726264
"19","B73_5","B73","5","Middle",12.4219776666667,24.03708,25.28127,5.0375,4.7025,2.35125,2.51875,25.7133441134235,49.4467451147229,0.0494467451147229
"20","B73_6","B73","6","Bottom",27.0694715,41.10947,49.577295,5.735,5.2925,2.64625,2.8675,41.7323760720102,66.3914557059661,0.0663914557059661
"21","B73_6","B73","6","Middle",12.5891035,18.15382,24.8291075,5.215,4.94,2.47,2.6075,30.8597390680272,41.7549608887633,0.0417549608887633
"23","Oh43_1","Oh43","1","Middle",12.8106545,24.2096033333333,30.4690866666667,5.3525,5.125,2.5625,2.67625,35.3667681374741,37.0750264967731,0.0370750264967731
"24","Oh43_2","Oh43","2","Bottom",16.323296,22.14098,22.62478,4.37,3.87,1.935,2.185,12.4328708437198,134.382266198582,0.134382266198582
"25","Oh43_2","Oh43","2","Middle",13.5665863333333,27.00961,31.7063866666667,5.38333333333333,5.16666666666667,2.58333333333333,2.69166666666667,36.4451458327305,38.1010037669449,0.0381010037669449
"26","Oh43_3","Oh43","3","Bottom",22.1461955,34.07258,43.329455,5.84,5.54,2.77,2.92,48.741538279235,46.505618518923,0.046505618518923
"27","Oh43_3","Oh43","3","Middle",10.8282383333333,22.063595,26.3500266666667,5.8425,5.5675,2.78375,2.92125,49.4921691158633,22.3937509888034,0.0223937509888034
"28","Oh43_4","Oh43","4","Bottom",12.272751,9.72717,27.84951,5.64,5.12,2.56,2.82,37.15746496512,33.8065904789703,0.0338065904789703
"29","Oh43_4","Oh43","4","Middle",14.6905465,27.601545,42.61776,6.04,5.72333333333333,2.86166666666667,3.02,55.5828933398603,27.0521837661716,0.0270521837661716
"30","Oh43_5","Oh43","5","Bottom",14.06034,20.4521,25.54315,5.54,4.98,2.49,2.77,33.5857370191988,42.8495698316027,0.0428495698316027
"31","Oh43_5","Oh43","5","Middle",10.8046196666667,22.8021966666667,25.8768066666667,5.1675,4.715,2.3575,2.58375,26.5878161220667,41.5941586572843,0.0415941586572843
"32","Oh43_6","Oh43","6","Bottom",20.206092,23.65553,38.60097,6.56,6.38,3.19,3.28,83.62246503677,24.7323217192963,0.0247323217192963
"33","Oh43_6","Oh43","6","Middle",10.2832996666667,17.8453866666667,22.9395933333333,5.205,4.6225,2.31125,2.6025,25.2353064711783,41.7089671237954,0.0417089671237954
