Geno,WR,Condition,K,K_norm,SE,BL,BL_norm,SE.1,UL,UL_norm,SE.2,E_GPa,E_Gpa_norm,SE.3
A632,BWR,Dry/Field,185.6316162,1.398251421,9.797732068,12.82562,0.970017054,1.581202054,20.07467261,1.144767101,1.37945463,2.902255971,1.384383396,0.934259488
B73,BWR,Dry/Field,132.7598267,1,9.797732068,13.22205619,1,1.463908643,17.53603208,1,1.350410227,2.096425008,1,0.934259488
Oh43,BWR,Dry/Field,155.8790189,1.174142983,15.99962947,15.48466,1.171123445,3.000119958,20.22244286,1.153193765,2.500473862,2.088882243,0.996402082,1.525639355
A632,MWR,Dry/Field,113.794116,1.208584826,5.469980992,8.373872877,1.322601017,0.785167278,10.78689286,1.006446486,0.753921236,8.323706632,2.441826085,0.521588221
B73,MWR,Dry/Field,94.15484421,1,6.35760808,6.331367333,1,1.074215263,10.7178007,1,0.876261864,3.408804044,1,0.606227607
Oh43,MWR,Dry/Field,121.243684,1.287705216,6.928042786,11.46128136,1.810237941,1.16779511,15.026096,1.401975687,0.986200191,4.686491153,1.374819759,0.660621219
A632,BWR,Fresh/Field,193.033235,0.73157571,16.97016974,30.165722,0.815779648,3.000119958,34.248415,0.747916005,2.338979124,1.003963983,1.387995735,1.6181849
B73,BWR,Fresh/Field,263.8595464,1,10.23339739,36.977782,1,1.500059979,45.79179318,1,1.410457481,0.723319213,1,0.97580221
Oh43,BWR,Fresh/Field,174.9883956,0.663187662,15.99962947,23.1281425,0.625460513,2.37180308,32.70945,0.714308127,2.205210666,0.575902671,0.79619435,1.525639355
A632,MWR,Fresh/Field,183.3193224,1.332870336,11.6414404,27.068318,1.360812977,1.732120065,33.79983706,1.342005832,1.604526442,0.774190914,1.27462231,1.110065684
B73,MWR,Fresh/Field,137.5372513,1,10.00846009,19.89128444,1,1.581202054,25.18605826,1,1.37945463,0.607388485,1,0.954353388
Oh43,MWR,Fresh/Field,120.5955239,0.876820809,11.31344649,22.92224643,1.152376383,1.792914603,29.25066,1.161383004,1.604526442,0.37615605,0.619300595,1.078789933
A632,TWR,Fresh/Field,106.4588853,1.354853546,12.3932597,12.84607125,1.035035082,2.37180308,18.51541769,1.348027838,1.834846184,1.506564328,3.243754345,1.181755163
B73,TWR,Fresh/Field,78.57593588,1,11.6414404,12.41124235,1,1.62704349,13.73518941,1,1.604526442,0.464450808,1,1.110065684
Oh43,TWR,Fresh/Field,74.7354075,0.951123352,11.9997221,12.59547538,1.014844044,1.860595414,15.09874733,1.099274781,1.708148837,0.58195556,1.252997194,1.144229516
